Job_Title,Salary_Estimate,Job_Description,Rating,Company_Name,Location,Headquarters,Size,Founded,Type_of_ownership,Industry,Sector,Revenue,Competitors
Chief Engineer,-1,"TCT Network's commitment to exceptional programming and viewer satisfaction begins and ends with our staff and we're looking for a dedicated Chief Engineer to add to our Broadcast Engineering team. If you have a sincere desire to utilize your talents in a Christian ministry setting and fit the criteria listed below, we would like to hear from you. TCT Network is an Equal Opportunity Employer.
EDUCATION/CERTIFICATION REQUIREMENTS
· Minimum of two years of college-level electronics curricula or bona fide electronics school/military equivalent.
· Society of Broadcast Engineers Certification preferred.
QUALIFICATIONS:
· Component level trouble-shooting skills as applied to television transmission, studio, and related equipment.
· Knowledge of all F.C.C. rules pertinent to television broadcast technical requirements as found in Parts 73 and 74.
· Supervisory skills to efficiently schedule and manage a technical staff.
· Organizational skills sufficient for timely filing of required reports, scheduling of preventive maintenance, and general coverage of required activities of the Engineering Department.
· Previous experience as Chief Engineer or Technical Supervisor at television broadcast station preferred.
· Valid Driver’s License.
RESPONSIBILITIES:
· Maintain full compliance at all times with all pertinent F.C.C. rules dealing with technical operations at television broadcasting stations as specified in Parts 73 and 74 of the rules.
· Monitor all transmission facilities to determine compliance with the rules and performing or supervising the performance of any and all corrective actions.
· Training of all transmitter operations personnel to a skill level which renders those employees knowledgeable and capable of performing their duties in full compliance with F.C.C. rules prior to assuming their responsibilities.
· Training of all non-transmitter operations personnel to a skill level required for the position by the organization and accepted engineering practice.
· Maintain and keep in proper working order all transmission and studio equipment.
· Maintain 24 hour “on-call” availability with station personnel and others who may be able to render assistance. Responsible for arranging a competent alternate staff member as a back-up during sick days, vacation, and other approved absences.
· Maintain compliance with pertinent F.C.C. rules as regarding posting or keeping station technical files, records, logs, licenses, permits, authorizations or other required documents.
· Purchase of all capital and non-capital items necessary for proper operation of the facility under direct supervision and cooperation of the VP of Engineering and the Regional Engineer, at lowest possible cost to the organization.
Reporting Relationships:
· Performance as a department head is evaluated by the Station Manager.
· Reports directly to VP of Engineering.
· Reports to, and works with, on a daily basis, the Great Lakes Regional Engineer in the area of organization technical policy.
· Technical performance and skills are evaluated by VP of Engineering, who advises the President and Station Manager.
Job Type: Full-time
Experience:
Engineering: 1 year (Preferred)
Work Location:
One location
Benefits:
Health insurance
Dental insurance
Paid time off
This Job Is Ideal for Someone Who Is:
Dependable -- more reliable than spontaneous
Adaptable/flexible -- enjoys doing work that requires frequent shifts in direction
Innovative -- prefers working in unconventional ways or on tasks that require creativity
Schedule:
Other",2.1,"TCT Network
2.1","Marion, IL",-1,51 to 200 Employees,1977,Nonprofit Organization,TV Broadcast & Cable Networks,Media,Unknown / Non-Applicable,-1
Project Engineer,-1,"Regional General Contractor specializing in new construction and renovation of apartment projects is seeking an experienced Project Engineer / Asst. Project Manager / Estimator to join their expanding team.

The Project Engineer duties include providing coordination, quality control, and all other aspects of project management including meeting tight schedules. Experience in Project Management of apartments. Estimating ability is required with attention to detail, multifamily experience a plus. Applicants should have a strong work ethic, be self-motivated, excellent organizational skills, be computer literate in Microsoft Office, and have the ability to work with a team dedicated to providing a quality product, on schedule, and on budget. This is a salaried, full time position and evening and weekend work may be required as job duties demand to meet, maintain, or exceed the project schedule as required. Some travel throughout North Carolina and Tennessee will be required.

We offer competitive salary and an excellent benefits package. We require a background check, and are a Drug free company.

If you are interested in working in a challenging and rewarding team environment, please submit a resume.

Job Type: Full-time

Benefits:
401(k)
401(k) matching
Health insurance
Paid time off
Schedule:
Monday to Friday
Experience:
Construction: 10 years (Preferred)
Construction Estimating: 5 years (Preferred)
Construction Project Management: 5 years (Preferred)
Apartment Rehab: 5 years (Preferred)
Willingness To Travel:
50% (Preferred)
Work Location:
One location
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible
Work Remotely:
No",-1,"Parker General Contractors, LLC","Benson, NC",-1,-1,-1,-1,-1,-1,-1,-1
Millwork/Cabinet Engineer,-1,"Produce submittal ready shop drawings which satisfy project requirements and maintain company standards

Communicate with customers through the engineering process

Produce cut lists for production

Work with problem areas to develop solutions

2+ years of cabinet manufacturing experience in design/engineering

Proficient in Revit or Microvellum

Ability to read and interpret blueprints and architectural drawings

Experience with Cabinet Vision is a plus

Job Type: Full-time

Pay: $70,000.00 - $80,000.00 per year

Benefits:
Flexible Schedule
Health Insurance
Paid Time Off
Retirement Plan
Schedule:
Monday to Friday
Education:
High school or equivalent (Preferred)
Work authorization:
United States (Preferred)
Work Location:
One location
Company's website:
www.craftpointconcepts.com
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible
Work Remotely:
No",3.3,"Craftpoint Concepts
3.3","Ephrata, PA",-1,1 to 50 Employees,-1,Subsidiary or Business Segment,Wood Product Manufacturing,Manufacturing,Less than $1 million (USD),-1
Failure Analysis Engineer,-1,"If you are looking for a challenging and exciting career in the world of technology, then look no further. Skyworks is an innovator of high performance analog semiconductors whose solutions are powering the wireless networking revolution. At Skyworks, you will find a fast-paced environment with a strong focus on global collaboration, minimal layers of management and the freedom to make meaningful contributions in a setting that encourages creativity and out-of-the-box thinking. Our work culture values diversity, social responsibility, open communication, mutual trust and respect. We are excited about the opportunity to work with you and glad you want to be part of a team of talented individuals who together can change the way the world communicates.
Requisition ID: 62447
POSITION SUMMARY
Skyworks is looking for a hands-on electrical Failure Analysis Engineer to join our Newbury Park Failure Analysis team supporting failure verification, fault isolation, and root cause analysis on customer returns, reliability, and internal failures. As a Failure Analysis Engineer, you'll be interacting with internal customers and key support groups (Customer Quality, Product/Test Engineering, Design, etc.) as needed to help perform the analysis.
2ND Shift: M - F 4:00 PM - 12:30 AM

Primary Responsibilities: Day-to day responsibilties include but not limited to
Uses electronics and device physics concepts to perform failure analysis on customer returns, qualification failures, and other internal requests
Develops proficiency in operating FA tools, such as X-ray, C-SAM, IR thermal, photon emission microscope
Reads circuit schematics and layouts, and applies failure analysis procedures to identify the failure location and the root causes (troubleshooting capability)
Writes comprehensive failure analysis reports, including charts and photographs
Resolves a wide range of issues in imaginative as well as practical ways
Works on problems of diverse scope where analysis of data requires evaluation of identifiable factors
Demonstrates good judgment in selecting methods and techniques for obtaining solutions
JOB QUALIFICATIONS
Must Haves:

BS in Electrical Engineering & 3-5 years’ experience in semiconductor Failure Analysis
Solid knowledge of Analog Integrated circuit analysis, and semiconductor device physics concepts
Knowledge and experience of semiconductor process and assembly
Hands-on lab experience using lab test equipment (oscilloscope, network analyzer, spectrum analyzer), IR thermal, and photo emission microscope
Proficient with MS Office, particularly with MS Excel software
Ability to successfully develop and present reports/presentations
Excellent verbal and written communication skills
Ability to successfully communicate with individuals at all levels of the business and demonstrates strong interpersonal skills
Utilizes a proactive and persistent approach and demonstrates a sense of urgency
Ability to handle multi tasks simultaneously and efficiently
Ability to complete work in a timely manner and prioritize jobs in accordance to requirement

Nice to have:
MS/PhD in Electrical Engineering with 1-5 years’ experience in semiconductor Failure Analysis
RF and HBT experience preferred

OUR OFFER
Competitive base salary with world class health benefits, Retirement benefits, vacation, wellness time off and many more!
A collaborative work environment that includes dynamic &smart people.
A place where teams inspire and bring innovative ideas to life.

Join us and help shape the future of wireless!
Apply Now!
#LI-PR1

Skyworks is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other characteristic protected by law.


Nearest Major Market: Ventura
Nearest Secondary Market: Oxnard
Job Segment: Electronics Engineer, Electrical, Engineer, Thermal Engineering, Network, Engineering, Technology",3.4,"Skyworks
3.4","Newbury Park, CA",-1,5001 to 10000 Employees,1962,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$2 to $5 billion (USD),-1
Reliability Engineer,-1,"Your Opportunity: *
As a Reliability Engineer for TechSource you will support Los Alamos National Laboratory (LANL)s Advanced Sources and Detectors (ASD) group, which is tasked to deliver a DARHT-like radiograph capability for underground subcritical experiments in Nevada. You will perform Reliability, Availability, Maintainability, and Inspectability (RAMI) reviews and report on your findings, including your recommendations. Additionally, youll perform a value engineering review regarding the current ASD requirements and designs. Your analytical, collaborative, and written communication skills will be required to perform this work successfully. You will be able to perform most of this work remotely with occasional trips to Los Alamos, NM (after COVID) for team meetings.

The ASD Systems Engineering (SE) team supports two critical bodies of work. The SE team implements Systems Engineering processes across the 4 ASD partner sites (LANL, LLNL, SNL, and MSTS). The SE team also provides integration between the U1a Complex Enhancement Project (UCEP) and the other Enhanced Capabilities for Subcritical Experiments (ECSE) stakeholder (ASD, Neutron Diagnosed Subcritical Experiments (NDSE), LANL-SCE, and LLNL-SCE), this includes the development, coordination, and negotiation of all underground ECSE infrastructure requirements and designs. Your work will have a significant impact on our nations safety and security.
What You will Do: *
· Perform Reliability, Availability, Maintainability, and Inspectability (RAMI) reviews and report on your findings, including your recommendations.

· Conduct value engineering reviews regarding the current ASD requirements and designs and generate reports based on your analysis.

· Provide Failure Mode and Effects Analysis reviews and report on your findings.

· Mentor the team on conducting the various reviews to provide them with the methodology and framework for future reviews and reports.
What You Will Need: *
· 5 years of experience performing RAMI, value engineering, and failure mode and effects analysis reviews.

· Engineering degree in Electrical, Mechanical, Industrial, or other discipline.

· Ability to multi-task and operate effectively in highly integrative environment.

· Excellent verbal, interpersonal, and written communication skills.

· Motivated self-starter with strong attention to detail.

\*\*US citizenship is required for this position due to access to export control information.\*\*
Equal Employment Opportunity: *
All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or veteran status and any other protected class under state or federal law.
What We Offer: *
We know benefits are important to you. Therefore, we offer an array of excellent benefits including medical, dental, and vision insurance, generous paid time off policy, and 401(k) employer contribution. Furthermore, you will have access to a health savings plan, flexible spending plan, and superior paid holidays offering.

TechSource has been providing superior science and engineering consulting services to a multitude of government clients for over twenty years in several locations across the United States. We are passionate about our people because we know our people are what drives our success. We believe that trust is the key to our relationships with our clients, our communities, and our people. We pride ourselves on our honesty, our ethical behavior, and our open and straightforward communication. Integrity is at the core of everything that we do.

Job Type: Full-time

Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Employee assistance program
Flexible schedule
Flexible spending account
Health insurance
Life insurance
Paid time off
Professional development assistance
Tuition reimbursement
Vision insurance
Schedule:
8 hour shift
Day shift
Monday to Friday
Supplemental Pay:
Bonus pay
Education:
Bachelor's (Preferred)
Experience:
RAMI reviews: 5 years (Preferred)",4.5,"TechSource, Inc.
4.5","Los Alamos, NM",-1,1 to 50 Employees,-1,Company - Private,Research & Development,Business Services,$25 to $50 million (USD),-1
Engineer/Scientist (Project Related),-1,"Engineer/Scientist - Project Related
Ra Medical Systems, Inc. is looking for a recent college graduate or early career STEM professional to work with our systems team on characterization and root cause analysis. The engineer/scientist will execute experiments to characterize our catheter to further our understanding of the system.
Chosen candidate will:
Design and execute protocols and test reports. Strong written communication skills are critical.
Have academic or industry experience with optics, thin films, chemistry or associated discipline. Bachelors degree required.
Present results to a broad team including technical management. Strong verbal communication skills are critical.
Contribute to failure analysis efforts for product failures
Complete documentation for all projects to ensure FDA and global compliance with requirements.
Support our ongoing research and development projects
Our engineer/scientist must have the ability to manage assigned projects per scope and timeline, must be willing to learn engineering principles and apply those principles to projects. Candidates must be proficient in MS Office – Word, Excel and PowerPoint.
These opportunities are available at our Ra Medical facility in Carlsbad,
California. Position is temporary in nature and not benefits eligible. Hourly rate will be dependent on experience
About Ra Medical Systems
Ra Medical Systems, founded in 2002, is a medical device company leveraging its advanced excimer laser-based platform for use in the treatment of vascular and dermatologic diseases. DABRA launched in 2017 and is used in the endovascular treatment of blockages resulting from lower extremity vascular disease. Pharos launched in 2004 and is used in the treatment of dermatological skin disorders, including psoriasis, vitiligo and atopic dermatitis. DABRA and Pharos are based on Ra Medical’s core excimer laser technology platform.
Job Type: Temporary
Pay: $25.00 - $30.00 per hour
Schedule:
Monday to Friday
Education:
Bachelor's (Required)
Work Location:
One location
Employment Length:
4 - 6 months
Work Remotely:
No",-1,"Ra Medical Systems, Inc.","Carlsbad, CA",-1,-1,-1,-1,-1,-1,-1,-1
Engineering Technician,-1,"We are currently hiring for entry level Engineering Technicians to join our growing product line at our Redding, CA Plant. This is a great role for new graduates that enjoy hands on within a manufacturing facility with growth opportunities. Join us if you are interested in working in a fast paced, financially sound manufacturing environment.
Company Profile:
CaptiveAire is the nation’s leading manufacturer of commercial kitchen ventilation systems, and now provides a complete solution of fans, heaters, ductwork and HVAC equipment. For over 40 years, we’ve led the industry with innovative technologies, unmatched service, competitive pricing, and rapid lead times.
Captive-Aire maintains a network of over 90 sales offices in the U.S. and Canada and six strategically located manufacturing plants in North Carolina, Oklahoma, Pennsylvania, California, Iowa, and Florida.
Primary Job Responsibilities:
Hands on, working on our rapidly growing DOAS (Dedicated Outdoor Air System) line to help with production of these units
Accurately complete quality and administrative documents
Electrical and Electronic troubleshooting
Inspecting Products
Refrigerant Charging and Recovery
Read Engineering Drawings and Wiring Diagrams
Brazing skills needed; welding and soldering skills a plus
Performing all work according to safety standards and procedures
Ensuring workspace is clean, safe and in working order
Excellent opportunity for growth into manufacturing and other engineering opportunities
Qualifications:
2yr or 4yr engineering degree needed
Entry level to 2yrs work experience
Internship or other hands-on, manufacturing experience preferred
Able to use power tools and electrical testing and measuring equipment
Universal EPA Certification preferred
HVAC related experience beneficial
Ability to lift 50 pounds
Able to read factory orders
Must pass background check and drug screen
Benefits:
Medical, dental and vision insurance
Disability & life insurance based upon election of medical insurance
Paid holidays, vacation, and sick days based upon tenure
401k with employer match
Flexible spending account (FSA)
Salary:
Competitive hourly wage with monthly bonus based on productivity and profits.
Captive-Aire Systems, Inc. is proud to be an equal opportunity workplace. We review applications for employment without regard to their race, color, religion, sex, sexual orientation, gender identity, national origin, ancestry, citizenship, age, uniformed services, genetic information, physical or mental disability, medical condition, marital status, or any other basis prohibited by law.
Job Type: Full-time
Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Flexible spending account
Health insurance
Life insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Monday to Friday
Overtime
Supplemental Pay:
Bonus pay
Pay Frequency:
Bi weekly or Twice monthly",-1,CaptiveAire Systems,"Redding, CA",-1,-1,-1,-1,-1,-1,-1,-1
Licensed Professional Engineer,-1,"Awnex, Inc is a local family-owned company and we are looking to add a full-time Licensed Professional Structural Engineer to our Ball Ground location. Pay is based on experience. We offer paid time off, health insurances and 401(k). If you’ve got the skills listed below, can pass a drug screen and a background check, we encourage you to apply.
Primary Responsibilities*
To develop calculation packages of Awnex’s primarily aluminum-based products for site specific locations and to stamp any project that may be required. To assist in the design of new products for material requirements and product development. To optimize existing and new designs for weight to strength ratios.

We are looking for a Licensed Structural Engineer that can adapt to an everchanging industry. Someone that can work independently & help guide others with their experience & knowledge. To assist in product development & routine production drawings. It is a role that Awnex depends on for their attention to detail, innovation & problem-solving skills to create the best designs & best value possible to our customers.
Duties*
· To understand manufacturing processes for aluminum materials and extrusions

· Design architectural metal systems that are safe and capable of withstanding the elements to which they are exposed

· Assist with design of aluminum extrusions for structural integrity

· Assist in value engineering for material cost savings

· To work hand and hand with the engineering department and project managers

· Help development standards of design for regions with various design loads

· Develop calculation templates for Awnex’s standard line of products

· Prepare reports, designs and drawing packages

· To be of assistance in communicating projects with the customers where there may be questions of design and attachment loads

· Be the liaison between relevant professional staff, such as architects, engineers of record, and the company

· Use creativity and innovation to come up with solutions for some of our greatest challenges

· Provide technical advice internally and externally

· Obtain planning and/or building regulation approvals when necessary

· To promote Awnex company values
Skills*
· Knowledge of manufacturing concepts

· Ability to grasp modern technology quickly

· Must be a good communicator

· Ability to prioritize multiple projects

· Enthusiastic, cooperative, and positive behavior

· Modeling for testing structural integrity with simulations
Required*
· Structural Engineering experience, 5 year minimum

· Licensed P.E.

· Aluminum structural analysis
Pay Range: *$80k - $120k
Job Type: Full-time

Pay: $80,000.00 - $120,000.00 per year

Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Health insurance
Life insurance
Paid time off
Vision insurance
Schedule:
8 hour shift
Day shift
Monday to Friday
COVID-19 considerations:
We are practicing social distancing of 6 ft, video meetings and phone calls instead of in-person contact where possible, frequent hand washing, sanitizing of equipment/areas, and asking sick employees to stay home. Masks are allowed but not required.

Experience:
Structural Engineering: 5 years (Required)
License:
Professional Engineer (Required)
Work Location:
One location
Company's website:
awnexinc.com
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible
Work Remotely:
No",-1,"Awnex,Inc","Ball Ground, GA",-1,Unknown,-1,Company - Public,-1,-1,Less than $1 million (USD),-1
Engineering Manager,-1,"The Engineering Manager supports the Products team (Reporting to the Director of Product Development) and manages the day to day activities of the Product Development Engineers (on-site, remote, and offshore). The job involves the effective assignment, allocation, and deployment of PD resources against a robust product roadmap in a rapidly evolving industry. The Engineering Manager will act as a player coach – working on projects and acting as an expert technical resource to the team.
Duties and Responsibilities:
Assign and delegate tasks and coordinate project assignments to on-site, remote, and offshore engineers
Gauge and advance progress of numerous projects and help remove and overcome barriers to progress
Assess resource requirements and deploy existing resources against various priorities
Communicate effectively with direct reports, internal stakeholders, and customers
Participate as a team member and team lead in product development projects
Solve and provide technical guidance on engineering topics
Train new employees
Qualifications:
Bachelor's degree in engineering
Working proficiency in new product development processes preferred
Proficiency in CAD and 3-D modeling preferred
Analytical and math skills
Problem solving abilities
Ability to collaborate with many other teams
MBA or Master's in engineering preferred
Interpersonal skills to manage a team on engineers
Ability to give constructive criticism
Effective decision-making skills
Ability to adapt to change in a fast-paced environment
Job Type: Full-time
Pay: $80,000.00 - $100,000.00 per year
Benefits:
401(k)
401(k) matching
Dental insurance
Disability insurance
Flexible schedule
Flexible spending account
Health insurance
Life insurance
Paid time off
Professional development assistance
Referral program
Tuition reimbursement
Vision insurance
Schedule:
Monday to Friday
Supplemental Pay:
Bonus pay
Experience:
Engineering Management: 5 years (Preferred)
This Job Is Ideal for Someone Who Is:
Dependable -- more reliable than spontaneous
People-oriented -- enjoys interacting with people and working on group projects
Adaptable/flexible -- enjoys doing work that requires frequent shifts in direction
Detail-oriented -- would rather focus on the details of work than the bigger picture
High stress tolerance -- thrives in a high-pressure environment
Company's website:
www.unirac.com
Company's Facebook page:
https://www.facebook.com/uniracinc/
Work Remotely:
No",3.7,"Unirac, Inc.
3.7","Albuquerque, NM",-1,51 to 200 Employees,-1,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$25 to $50 million (USD),-1
Cost Engineer / Cost Estimator,-1,"Alliance Consulting Group, Inc. is seeking a Cost Engineer / Cost Estimator with general knowledge and understanding of construction cost estimates and facility systems. Works well with a team, self motivated, and can support a small group to develop a variety of projects from parametric to detailed budget estimates. The position is located in Old Town Alexandria, Virginia.

Responsibilities include gathering and analyzing project drawings, data, writing technical reports, developing analytical report, statistical analysis, developing cost/schedule metrics and support services focused on engineering requirements.

Key Requirements
*Candidate must be a US Citizen*
Strong communication skills
Prior experience with cost development
Other Notes Related to the Position:
Familiar with the 50 Division CSI format structure.
Preparation of conceptual cost models, budgets and feasibility models based on historic cost data and / or subcontractor input as appropriate.
Develop cost estimates at various stages of design.
Analyze Project program, design, costs, and subcontractor input and provide comparisons, cost savings, value engineering options, and other recommendations.
Working with small teams to develop survey and estimates.
Work cross-functionally to facilitate best practices and process initiatives.
Software:
OnScreen Take-Off
MII
PACES
ECONPACK
At Alliance, we value our employees, we offer a competitive benefits package that includes medical, training and development opportunities and much more.

Job Type: Full-time

Schedule:
Monday to Friday
Experience:
Engineering, cost engineering, construction: 5 years (Required)
Work Location:
One location
This Job Is:
A job for which military experienced candidates are encouraged to apply
Company's website:
www.alliance.us.com
Work Remotely:
No",3.4,"Alliance Consulting Group, Inc.
3.4","Alexandria, VA",-1,201 to 500 Employees,-1,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1
Estate Maintenance Engineer,-1,"Notre Vue Estate Winery and Vineyards has an opportunity for a hands-on Estate Maintenance Engineer to join our team. Notre Vue is an ultra-premium, family-owned 700-acre Estate that spans both the Russian River and Chalk Hill AVAs in Sonoma County. Key attributes for each of our team members includes principals of stewardship, authenticity, and a passion to build and maintain a prominent, sustainable destination winery that provides customers and visitors with the highest quality products and experiences in a manner that exceeds their expectations.
The Estate Maintenance Engineerreports to the Estate General Manager and works closely with the Estate Admin Coordinator. The Estate Maintenance Engineer has one direct report, Estate Grounds Keeper
Responsibilities:
This is a hands-on position and involves performing preventative and repair maintenance as well as managing on-site maintenance contractors and overseeing and tracking equipment sent offsite for repairs.
Scheduling and or performing all equipment maintenance on the estate including Winery, Farm and at times Residential.
Oversees Estate grounds keeping.
Ensuring that inspections are completed and deficiencies are documented and corrected.
Maintain a Preventative Maintenance Program.
Ensures/performs skilled maintenance work on all equipment.
Maintain and document; wastewater, stormwater, potable water and septic systems
Coach train and advise all staff regarding equipment safety, proper operation and maintenance, ensures PPE requirements are being followed
Qualifications:
Must be self-motivated and able to work independently with flexible hours that may include nights and weekends.
Excellent people skills, providing a positive “can-do” team culture for team members at all levels.
Able to prioritize, meet deadlines, work with accuracy without supervision.
Mechanical aptitude and experience.
Sufficient knowledge HR, OSHA, Labor law and Workers comp issues to know how to keep in compliance and get the right answers if anything is not thoroughly understood.
Valid California driver’s license with good driving record as determined by our insurance provider.
Ability to lift and carry 50 lbs.
Able to walk for sustained periods through varying terrain, to include mud, rocks, loose soil, etc.
The ability to communicate fluently in English and have some basic Spanish communication skill.
Job Type: Full-time
Pay: $45,000.00 - $50,000.00 per year
Benefits:
401(k) matching
Health insurance
Paid time off
Schedule:
8 hour shift
Monday to Friday
Weekends
Experience:
Maintenance: 5 years (Preferred)
Mechanical Knowledge: 5 years (Preferred)
Work Location:
One location
Pay Frequency:
Bi weekly or Twice monthly
This Company Describes Its Culture as:
Team-oriented -- cooperative and collaborative
Company's website:
https://www.notrevueestate.com/
Benefit Conditions:
Waiting period may apply
Only full-time employees eligible
Work Remotely:
No",-1,Notre Vue Estate Winery and Vineyards,"Windsor, CA",-1,-1,-1,-1,-1,-1,-1,-1
Economic Studies Engineer,-1,"We’re hiring! MISO has adapted our recruiting and onboarding processes to accommodate the needs of our prospective employees in light of the current conditions. At MISO, we are committed to the health and safety of our employees while maintaining a reliable bulk electric system. We are proud to offer #workfromhome options to our employees.
MISO offers a comprehensive benefits package available on your first day of employment. #stillhiring #hiring

Position Location: Carmel, IN; Eagan, MN; or Little Rock

Are you an experienced electrical engineer looking to gain broad exposure to MISO’s planning, market, and operations teams? Do you like to use your communication skills to explain complex issues to business leaders?

Do you have interest in guiding the investment of millions of dollars for transmission owners, transmission developers, generation developers and new MISO members?

Does the thought of being part of a company that impacts over 42 million people by helping ensure they have electricity excite you?

If so, read on…

As our Economic Studies Engineer, you will help MISO analyze future market operations to ensure the most efficient, least-cost generation is able to serve projected load. You will also develop unique transmission solutions to address market congestion, renewable generation development, and generation portfolio evolution.

Additionally, as our Economic Studies Engineer, you will be part of the team where you will use your creativity to develop solutions that drive and transform the grid of the future. This team utilizes extensive collaboration with cross-functional teams when solving complex problems along with unique opportunities to build and develop lasting relationships with MISO stakeholders.

You will have the opportunity to work on annual transmission planning studies, crafted studies to address state and federal policies, investigating operational conditions in a simulated environment and evaluate the financial benefits for companies seeking MISO membership.

In one year as our Economic Studies Engineer, you will know you were successful if:
you demonstrated your ability to balance and prioritize multiple long-term projects to meet department objectives
you developed and utilized an in-depth understanding of the policy and business drivers guiding the MISO transmission planning process(s)
you built a network of colleagues within MISO and the industry
We are looking for talented professionals who have:
at least a Bachelor’s degree in Electrical Engineering
We would also prefer candidates with the following:
At least one+ year(s) of experience in the electric planning, compliance, regulatory standards or economics field
Prior experience working for an Electric Reliability Organization (ERO) or Regional Reliability Organization (RRO)
Previous energy industry experience
Appropriate level will be determined based upon experience and knowledge.

See what MISO is all about!

MISO manages the electricity superhighway in the Central U.S. Through use of groundbreaking research and advanced technology, our highly skilled employees ensure power flows reliably to 42 million people. Operating the electricity grid, running a robust energy market, planning for a bright future – it’s what our immensely talented and dedicated team does every day.

For more info about MISO, check us out on YouTube
https://youtu.be/Hx2FMWzFcYI

Apply today for the opportunity to help us keep the lights on!",3.3,"MIDCONTINENT INDEPENDENT SYSTEM OPERATOR INC
3.3","Eagan, MN",-1,501 to 1000 Employees,1998,Nonprofit Organization,Energy,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable,-1
"Services Engineer, IMS",-1,"Overview:
In this role you will be responsible for designing and deploying enterprise solution architecture, coordinating installations and migrations, and managing SLAs for IMS network. You may also be required to troubleshoot LAN and WAN hardware systems and respond to customer inquiries. To ensure success as a VoLTE Network Engineer, you should have advanced knowledge of VoLTE networking systems, excellent troubleshooting skills, and knowledge of 4g/5G wireless protocols.
Responsibilities:
As a top-class VoLTE Network Engineer, you will be able to design and deploy the perfect networking system to meet the current and future networking needs of our company, by performing the following functions:
Operate & maintain a clean VoLTE deployment, by regularly attending to alarms, KPIs, and syslog’s.
Routinely upkeeping the system software, hardware, license, and certificates.
Project manage small to medium VoLTE related projects by liaising with internal & external teams.
Handle more complex and escalated customer problems that require in depth knowledge of VoLTE call flows, network, systems, and applications.
Analyzing and upgrading network security systems and protocols.
Advanced fault troubleshooting of VoLTE call flows, audio quality, and network problems.
Manage internal and external escalations effectively and driving towards resolution
Ability to effectively manage system and network incidents with the sense of urgency.
Perform Root-Cause-Analysis of incidents, resolve all the problems identified during the incident and most importantly apply lesson learnt from the incident to prevent future recurrences.
Ability to adapt quickly to changing priorities in a dynamic real time service environment.
Ability to act quickly and independently, but with group in mind.
Create detailed technical design, operating practices, MOPs, and test plans.
Execute MOPs, and test plans on new product deployments prior to place in production network.
Coordinate, execute, and document testing that may include vendors and end users
Deliver staff mentoring and expert level training as requested by Operational personnel.
Qualifications:
REQUIRED
Bachelor’s degree in Information Technology, Computer Science, or similar field required.
At least 8 years of working experience as a VoLTE Network Engineer, especially well experienced in IMS protocols and components of IMS is required.
Knowledge of 3GPP IMS core standards required.
In-depth knowledge of VoIP systems and IP Protocols and Excellent troubleshooting skills required.
Familiarity with WAN and LAN systems and various technologies including BGP, MPLS, T1, VRF required.
Advanced knowledge in System Administration (Linux, Windows) required.
Advanced written and verbal communication skills required.
PREFERRED
Good project management skills strongly preferred.
Well experienced in using troubleshooting tools such as NetScout protocol analyzer, SolarWinds, and Service Assurance applications preferred.
Preferred to have experience in Network Function Virtualization (NFV), VMWare, and JavaScript or python scripting.
PHYSICALLY REQUIREMENTS:
Must be able to sit for long periods of time and use computer keyboard and/or mouse while viewing computer screen. Schedule includes some evenings and weekends. 24/7 availability. This job requires the employee to be able to lift 60lbs unassisted and 120lbs assisted. Be agile enough to bend, stoop, and crawl. Possess sufficient manual dexterity and mobility to work in confined areas. Must be able to work evenings, nights, weekends, and holidays

Note: This is a brief description of the IMS Engineer’s responsibilities and is not limited to those described herein. Management retains the right to add, delete or modify any of these responsibilities at any time during employment. Rev. 11/2020",4.4,"C Spire
4.4","Ridgeland, MS",-1,1001 to 5000 Employees,1988,Company - Private,Telecommunications Services,Telecommunications,Unknown / Non-Applicable,-1
